album,singer,singerGender,releaseDate,price,songNumber,totalSales,QQ,WYY,KUGOU,KUWO,MIGU
Dream Glow (BTS WORLD OST Part.1),BTS (防弹少年团) / Charli XCX,male,2019/6/7,3,1,939672,0,939672,0,0,0
9801,WOOSEOK X KUANLIN,male,2019/3/11,10,5,938270,0,938270,0,0,0
适者生存,幼稚园杀手 / 9 Tribez,female,2020/6/3,20,15,935780,0,935780,0,0,0
徐梦圆 同名专辑,徐梦圆,female,2018/3/8,16,10,932832,0,932832,0,0,0
黑夜闭上双眼(Close my eyes),灵超,male,2019/7/12,3,1,932391,902856,0,23373,4860,1302
Purpose - The 2nd Album Repackage,太妍,female,2020/1/15,18,13,924715,814420,0,99003,11292,0
I'm Kwin,木子洋,male,2019/7/12,3,1,902742,879927,0,17592,4317,906
i DECIDE,iKON,male,2020/2/6,12,5,898116,798600,0,81612,17904,0
赤子白仙,刺猬,male,2020/7/13,20,12,894760,0,890140,0,0,4620
SEVENTEEN Special Album '; [Semicolon]',SEVENTEEN,male,2020/10/19,18,6,883512,830394,0,49968,3150,0
恶浪,ONER,male,2020/8/30,15,8,872326,807496,0,45237,11688,7905
???? (DUMDi DUMDi),(G)I-DLE,female,2020/8/3,5,2,833745,0,833745,0,0,0
你在我心中,Mike Angelo,female,2018/3/14,8,4,830512,184544,0,627144,18824,0
恋爱告急,鞠婧祎,female,2019/11/8,5,2,829025,0,829025,0,0,0
镜中兽（Mirror Me）,姚明明（姚柏南）,male,2020/10/23,12,5,826722,817680,0,6684,2358,0
Be ordinary,黄致列,male,2017/6/13,12,7,826044,762264,0,34320,29460,0
KAI (开) - The 1st Mini Album,KAI (金钟仁),male,2020/11/30,18,6,802422,744840,0,55548,2034,0
G-DRAGON 2017 WORLD TOUR IN JAPAN,G-DRAGON (权志龙),male,2018/2/7,20,22,797620,0,797620,0,0,0
和自己对话-感动双推荐,林俊杰,male,2015/12/18,4,2,792804,769136,11908,11760,0,0
丹宁执着,林俊杰 / 消除联萌,male,2017/8/23,2,1,789838,627862,51032,96150,14418,376
Live Fast,Alan Walker / A$AP Rocky,male,2019/7/25,5,1,775340,426350,0,333690,15300,0
I=U=WE：序,BOY STORY,male,2020/1/6,10,5,772600,732150,0,32000,8450,0
陈粒“在蓬莱”in Blue Note Beijing,陈粒,female,2017/7/26,12,7,760428,667320,0,75012,18096,0
When We Were Us - The 1st Mini Album,SUPER JUNIOR-K.R.Y.,male,2020/6/8,18,6,757062,684072,0,60282,12708,0
假装 (Telephone) (Feat. 10CM),EXO-SC,male,2020/7/7,3,1,754830,662031,0,89430,3369,0
小瓶子,林俊杰,male,2017/11/27,2,1,750202,633838,23150,84328,8886,0
追梦人,好妹妹,male,2018/10/17,20,10,734800,470040,0,119280,18000,127480
末日飞船,唐汉霄 / 周深,male,2019/7/18,6,2,724950,568992,0,139272,16686,0
A Brand New Day (BTS WORLD OST Part.2),BTS (防弹少年团) / Zara Larsson,male,2019/6/14,3,1,719433,0,719433,0,0,0
SELF,曾可妮 / 刘令姿,female,2020/10/13,6,3,717306,0,716322,0,0,984
亲爱的怪物,炎亚纶,male,2018/9/28,7,3,691803,0,691803,0,0,0
翻白眼,周笔畅,male,2015/6/2,5,3,688100,688100,0,0,0,0
桃浦男孩,陈立农,male,2020/10/3,3,1,679125,580215,0,86397,10500,2013
解梦,SING女团,female,2019/8/10,5,3,678035,50500,0,605205,22330,0
"So, 通 (??)",N.Flying,male,2020/6/10,12,6,672336,0,672336,0,0,0
